spidygiovy@email.com		: am0Arrampicare
ladivinamargherita@email.com	: Javaisc00l
edoardoperego@email.com		: Edyscovery99
gennaro.panizzi67@email.com	: Evvivaipanini67
alefumagalli@email.com		: PASSWORD123
lavelloascanio@email.com	: Bowling32
elenasfogo12@email.com		: PASSWORd1
catethewitch@email.com		: 00Futuroscoperto00
fuocofatuoloso@email.com	: 6FuocoEFiamme6
corvoneroalberto@email.com	: craCRAcra11
costruisceania@email.com	: Biochimica99
lucionelcielo@email.com		: 01Beatles10
brunosalmone@email.com		: TrotaSalmonata00
oplascecilia@email.com		: BallaDiFien0
vincenzo_rossi@email.com	: BromleyBromley97
alexanderresinelli@email.com	: Il0veClimb
boletusedulis@email.com		: N0Amanita
potamartinacolombo@email.com	: POTAlaPASSW0RD
liutprandadicastello@email.com	: Castell0Brianza
dario.salga12@email.com		: PASS123word
